G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
26	Wed, Feb 18, 2015	7:00 pm/est	ASN, MASN	REG		Duquesne	A-10	W	87	72		15	11	W 1		duquesne	la-salle	2015
27	Sun, Feb 22, 2015	2:30 pm/est	NBCSN	REG	@	Saint Louis	A-10	L	64	68	OT	15	12	L 1		saint-louis	la-salle	2015
28	Wed, Feb 25, 2015	7:00 pm/est		REG	@	Fordham	A-10	L	48	63		15	13	L 2		fordham	la-salle	2015
29	Sat, Feb 28, 2015	12:30 pm/est	NBCSN	REG		Rhode Island	A-10	L	56	59		15	14	L 3		rhode-island	la-salle	2015
30	Wed, Mar 4, 2015	7:00 pm/est	CBSSN	REG	@	Saint Joseph's	A-10	L	50	55		15	15	L 4		saint-josephs	la-salle	2015
31	Sat, Mar 7, 2015	4:00 pm/est	CBSSN	REG		Dayton	A-10	W	55	53		16	15	W 1		dayton	la-salle	2015
32	Thu, Mar 12, 2015	12:00 pm/est	NBCSN	CTOURN	N	Massachusetts	A-10	W	76	69		17	15	W 2		massachusetts	la-salle	2015
33	Fri, Mar 13, 2015	12:00 pm/est	NBCSN	CTOURN	N	Davidson (24)	A-10	L	66	67		17	16	L 1		davidson	la-salle	2015
1	Fri, Nov 14, 2014	7:00 pm/est		REG	@	Robert Morris	NEC	W	77	50		1	0	W 1		robert-morris	lafayette	2015
2	Sun, Nov 16, 2014	3:00 pm/est	ROOT	REG	@	West Virginia	Big 12	L	56	83		1	1	L 1		west-virginia	lafayette	2015
3	Wed, Nov 19, 2014	7:00 pm/est	Patriot League Network	REG		Princeton	Ivy	W	83	66		2	1	W 1		princeton	lafayette	2015
4	Sat, Nov 22, 2014	7:00 pm/est		REG	@	Pennsylvania	Ivy	W	83	77		3	1	W 2		pennsylvania	lafayette	2015
5	Wed, Nov 26, 2014	7:00 pm/est		REG	@	Yale	Ivy	L	60	82		3	2	L 1		yale	lafayette	2015
6	Sun, Nov 30, 2014	2:00 pm/est		REG	@	Fairleigh Dickinson	NEC	W	82	61		4	2	W 1		fairleigh-dickinson	lafayette	2015
7	Sat, Dec 6, 2014	2:00 pm/est	Patriot League Network	REG		Wagner	NEC	W	97	84		5	2	W 2		wagner	lafayette	2015
8	Mon, Dec 8, 2014	7:00 pm/est	Patriot League Network	REG		Sacred Heart	NEC	W	82	81		6	2	W 3		sacred-heart	lafayette	2015
9	Tue, Dec 16, 2014	7:00 pm/est	Patriot League Network	REG		Susquehanna		W	91	66		7	2	W 4		NA	lafayette	2015
10	Sat, Dec 20, 2014	3:00 pm/est	ESPN3.com, Jayhawk TV	REG	@	Kansas (10)	Big 12	L	69	96		7	3	L 1		kansas	lafayette	2015
11	Sun, Dec 28, 2014	2:00 pm/est	Patriot League Network	REG		NJIT	Ind	W	76	71		8	3	W 1		njit	lafayette	2015
12	Wed, Dec 31, 2014	3:00 pm/est	Patriot League Network	REG	@	Army	Patriot	W	92	78		9	3	W 2		army	lafayette	2015
13	Sat, Jan 3, 2015	2:00 pm/est	RCN-TV, WBPH-60	REG		Navy	Patriot	L	65	69		9	4	L 1		navy	lafayette	2015
14	Wed, Jan 7, 2015	7:00 pm/est	Patriot League Network	REG	@	Bucknell	Patriot	L	69	79		9	5	L 2		bucknell	lafayette	2015
15	Sat, Jan 10, 2015	1:00 pm/est	Patriot League Network	REG	@	Boston University	Patriot	W	63	62		10	5	W 1		boston-university	lafayette	2015
16	Wed, Jan 14, 2015	7:00 pm/est	Patriot League Network	REG		Loyola (MD)	Patriot	W	69	65		11	5	W 2		loyola-md	lafayette	2015
17	Sat, Jan 17, 2015	2:00 pm/est	Patriot League Network	REG		American	Patriot	L	76	78		11	6	L 1		american	lafayette	2015
18	Wed, Jan 21, 2015	7:05 pm/est	Charter TV3	REG	@	Holy Cross	Patriot	L	73	74		11	7	L 2		holy-cross	lafayette	2015
19	Sat, Jan 24, 2015	2:00 pm/est	Patriot League Network	REG		Lehigh	Patriot	L	71	75		11	8	L 3		lehigh	lafayette	2015
20	Wed, Jan 28, 2015	7:00 pm/est	Patriot League Network	REG	@	Colgate	Patriot	W	59	54		12	8	W 1		colgate	lafayette	2015
21	Sat, Jan 31, 2015	7:00 pm/est	Patriot League Network	REG	@	Navy	Patriot	W	74	65		13	8	W 2		navy	lafayette	2015
22	Wed, Feb 4, 2015	7:00 pm/est	Patriot League Network	REG		Bucknell	Patriot	W	84	74	OT	14	8	W 3		bucknell	lafayette	2015
23	Mon, Feb 9, 2015	7:00 pm/est	CBSSN	REG		Boston University	Patriot	L	60	74		14	9	L 1		boston-university	lafayette	2015
24	Wed, Feb 11, 2015	7:30 pm/est	Patriot League Net, MASN	REG	@	Loyola (MD)	Patriot	L	43	62		14	10	L 2		loyola-md	lafayette	2015
25	Sat, Feb 14, 2015	2:00 pm/est	CSN-MA, PLN	REG	@	American	Patriot	L	77	88		14	11	L 3		american	lafayette	2015
26	Wed, Feb 18, 2015	7:00 pm/est	Patriot League Network	REG		Holy Cross	Patriot	W	89	81		15	11	W 1		holy-cross	lafayette	2015
27	Sun, Feb 22, 2015	12:00 pm/est	CBSSN	REG	@	Lehigh	Patriot	W	63	61		16	11	W 2		lehigh	lafayette	2015
28	Wed, Feb 25, 2015	7:00 pm/est	Patriot League Network	REG		Colgate	Patriot	L	83	95		16	12	L 1		colgate	lafayette	2015
29	Sat, Feb 28, 2015	12:00 pm/est	Lafayette Sports Network	REG		Army	Patriot	W	74	64		17	12	W 1		army	lafayette	2015
30	Thu, Mar 5, 2015	7:00 pm/est	Patriot League Network	CTOURN		Boston University	Patriot	W	89	64		18	12	W 2		boston-university	lafayette	2015
31	Sun, Mar 8, 2015	2:00 pm/est	CBSSN	CTOURN	@	Bucknell	Patriot	W	80	74		19	12	W 3		bucknell	lafayette	2015
32	Wed, Mar 11, 2015	7:30 pm/est	CBSSN	CTOURN		American	Patriot	W	65	63		20	12	W 4		american	lafayette	2015
33	Thu, Mar 19, 2015	6:50 pm/est	TBS	NCAA	N	Villanova (2)	Big East	L	52	93		20	13	L 1		villanova	lafayette	2015
1	Fri, Nov 14, 2014	9:30 pm/est	ESPN3.com	REG	@	Southern Methodist (22)	AAC	L	54	93		0	1	L 1		southern-methodist	lamar	2015
2	Sun, Nov 16, 2014	3:00 pm/est		REG		Louisiana State-Alexandria		W	78	75		1	1	W 1		NA	lamar	2015
3	Wed, Nov 19, 2014	8:00 pm/est		REG	@	Texas State	Sun Belt	L	55	65		1	2	L 1		texas-state	lamar	2015
4	Sat, Nov 22, 2014	8:00 pm/est	Big Ten Network	REG	@	Indiana	Big Ten	L	72	85		1	3	L 2		indiana	lamar	2015
5	Tue, Nov 25, 2014	8:05 pm/est		REG	@	Arkansas State	Sun Belt	W	63	58		2	3	W 1		arkansas-state	lamar	2015
6	Fri, Nov 28, 2014	4:00 pm/est		REG	@	Texas Southern	SWAC	L	59	71		2	4	L 1		texas-southern	lamar	2015
7	Tue, Dec 2, 2014	8:00 pm/est		REG	@	Iowa State (20)	Big 12	L	59	96		2	5	L 2		iowa-state	lamar	2015
8	Sat, Dec 13, 2014	8:00 pm/est		REG	@	Texas-Rio Grande Valley	WAC	L	60	66		2	6	L 3		texas-pan-american	lamar	2015
9	Mon, Dec 15, 2014	8:00 pm/est		REG		Champion Baptist		W	128	54		3	6	W 1		NA	lamar	2015
10	Fri, Dec 19, 2014	8:00 pm/est		REG		Milligan		W	80	53		4	6	W 2		NA	lamar	2015
11	Mon, Dec 22, 2014	8:00 pm/est		REG		Rice	CUSA	W	79	72	OT	5	6	W 3		rice	lamar	2015
12	Tue, Dec 30, 2014	8:00 pm/est		REG		Huston-Tillotson		W	85	59		6	6	W 4		NA	lamar	2015
13	Sat, Jan 3, 2015	7:25 pm/est		REG		Nicholls State	Southland	W	75	62		7	6	W 5		nicholls-state	lamar	2015
14	Mon, Jan 5, 2015	8:45 pm/est		REG	@	New Orleans	Southland	L	67	72		7	7	L 1		new-orleans	lamar	2015
15	Sat, Jan 10, 2015	7:00 pm/est		REG		Central Arkansas	Southland	W	84	65		8	7	W 1		central-arkansas	lamar	2015
16	Mon, Jan 12, 2015	7:00 pm/est		REG	@	Texas A&M-Corpus Christi	Southland	W	66	64		9	7	W 2		texas-am-corpus-christi	lamar	2015
17	Sat, Jan 17, 2015	4:00 pm/est		REG	@	Northwestern State	Southland	L	84	96		9	8	L 1		northwestern-state	lamar	2015
18	Mon, Jan 19, 2015	8:00 pm/est		REG		Southeastern Louisiana	Southland	W	57	50		10	8	W 1		southeastern-louisiana	lamar	2015
19	Sat, Jan 24, 2015	8:00 pm/est		REG	@	Houston Baptist	Southland	L	77	79		10	9	L 1		houston-baptist	lamar	2015
20	Mon, Jan 26, 2015	8:00 pm/est		REG		Stephen F. Austin	Southland	L	65	82		10	10	L 2		stephen-f-austin	lamar	2015
21	Sat, Jan 31, 2015	7:30 pm/est		REG		Abilene Christian	Southland	W	84	74		11	10	W 1		abilene-christian	lamar	2015
22	Mon, Feb 2, 2015	7:30 pm/est		REG	@	Sam Houston State	Southland	L	50	79		11	11	L 1		sam-houston-state	lamar	2015
23	Sat, Feb 7, 2015	8:30 pm/est	ESPN3.com	REG	@	Incarnate Word	Southland	L	72	78		11	12	L 2		incarnate-word	lamar	2015
24	Mon, Feb 9, 2015	8:00 pm/est		REG	N	Abilene Christian	Southland	W	80	61		12	12	W 1		abilene-christian	lamar	2015
25	Mon, Feb 16, 2015	8:00 pm/est		REG		Houston Baptist	Southland	W	72	64		13	12	W 2		houston-baptist	lamar	2015
26	Sat, Feb 21, 2015	7:30 pm/est		REG		McNeese State	Southland	W	58	53		14	12	W 3		mcneese-state	lamar	2015
27	Mon, Feb 23, 2015	8:00 pm/est		REG	@	Stephen F. Austin	Southland	L	74	103		14	13	L 1		stephen-f-austin	lamar	2015
28	Sat, Feb 28, 2015	7:00 pm/est		REG		Incarnate Word	Southland	W	79	66		15	13	W 1		incarnate-word	lamar	2015
29	Mon, Mar 2, 2015	8:00 pm/est	ROOT-SW	REG	@	McNeese State	Southland	L	69	70		15	14	L 1		mcneese-state	lamar	2015
30	Thu, Mar 5, 2015	8:30 pm/est		REG		Sam Houston State	Southland	L	61	67		15	15	L 2		sam-houston-state	lamar	2015
1	Fri, Nov 14, 2014	8:00 pm/est	FS2	REG	N	Villanova (12)	Big East	L	66	77		0	1	L 1		villanova	lehigh	2015
2	Tue, Nov 18, 2014	7:00 pm/est	Patriot League Network	REG		Canisius	MAAC	L	51	63		0	2	L 2		canisius	lehigh	2015
3	Fri, Nov 21, 2014	7:00 pm/est		REG	@	Rider	MAAC	L	74	78		0	3	L 3		rider	lehigh	2015
4	Sun, Nov 23, 2014	2:00 pm/est	Patriot League Network	REG		Columbia	Ivy	L	44	54		0	4	L 4		columbia	lehigh	2015
5	Wed, Nov 26, 2014	8:00 pm/est	FS1	REG	@	DePaul	Big East	W	86	74		1	4	W 1		depaul	lehigh	2015
6	Sun, Nov 30, 2014	7:00 pm/est		REG		Penn State-Mont Alto		W	100	74		2	4	W 2		NA	lehigh	2015
7	Wed, Dec 3, 2014	7:00 pm/est	Patriot League Network	REG		Saint Francis (PA)	NEC	W	61	59		3	4	W 3		saint-francis-pa	lehigh	2015
8	Sat, Dec 6, 2014	2:00 pm/est		REG	@	Long Island University	NEC	W	80	76		4	4	W 4		long-island-university	lehigh	2015
9	Thu, Dec 18, 2014	7:00 pm/est		REG	@	Quinnipiac	MAAC	L	65	80		4	5	L 1		quinnipiac	lehigh	2015
10	Sat, Dec 20, 2014	9:00 pm/est	Pac-12 Network	REG	@	Arizona State	Pac-12	W	84	81	3OT	5	5	W 1		arizona-state	lehigh	2015
11	Sun, Dec 28, 2014	5:00 pm/est		REG	@	Maryland-Baltimore County	AEC	W	58	55		6	5	W 2		maryland-baltimore-county	lehigh	2015
12	Wed, Dec 31, 2014	2:00 pm/est	Patriot League Network	REG		Colgate	Patriot	L	61	68		6	6	L 1		colgate	lehigh	2015
13	Sat, Jan 3, 2015	1:00 pm/est	Patriot League Network	REG	@	Boston University	Patriot	L	56	75		6	7	L 2		boston-university	lehigh	2015
14	Wed, Jan 7, 2015	7:00 pm/est	Patriot League Network	REG	@	Army	Patriot	W	71	60		7	7	W 1		army	lehigh	2015
15	Sat, Jan 10, 2015	2:00 pm/est	Patriot League Network	REG		Loyola (MD)	Patriot	L	60	65		7	8	L 1		loyola-md	lehigh	2015
16	Wed, Jan 14, 2015	7:30 pm/est	Patriot League Network	REG	@	American	Patriot	L	59	62		7	9	L 2		american	lehigh	2015
17	Sat, Jan 17, 2015	2:00 pm/est	Patriot League Network	REG		Holy Cross	Patriot	W	69	64		8	9	W 1		holy-cross	lehigh	2015
18	Wed, Jan 21, 2015	7:00 pm/est		REG		Navy	Patriot	W	61	47		9	9	W 2		navy	lehigh	2015
19	Sat, Jan 24, 2015	2:00 pm/est	Patriot League Network	REG	@	Lafayette	Patriot	W	75	71		10	9	W 3		lafayette	lehigh	2015
20	Wed, Jan 28, 2015	8:00 pm/est	Patriot League Net, MASN	REG	@	Bucknell	Patriot	L	62	68		10	10	L 1		bucknell	lehigh	2015
21	Sat, Jan 31, 2015	2:00 pm/est	Patriot League Network	REG		Boston University	Patriot	W	89	86		11	10	W 1		boston-university	lehigh	2015
22	Wed, Feb 4, 2015	7:00 pm/est	Patriot League Network	REG		Army	Patriot	W	103	74		12	10	W 2		army	lehigh	2015
23	Sat, Feb 7, 2015	7:00 pm/est	Patriot League Network	REG	@	Loyola (MD)	Patriot	W	69	63		13	10	W 3		loyola-md	lehigh	2015
24	Thu, Feb 12, 2015	7:00 pm/est	CBSSN	REG		American	Patriot	W	65	58		14	10	W 4		american	lehigh	2015
25	Sat, Feb 14, 2015	3:05 pm/est		REG	@	Holy Cross	Patriot	L	52	58		14	11	L 1		holy-cross	lehigh	2015
26	Wed, Feb 18, 2015	7:00 pm/est		REG	@	Navy	Patriot	W	59	53		15	11	W 1		navy	lehigh	2015
27	Sun, Feb 22, 2015	12:00 pm/est	CBSSN	REG		Lafayette	Patriot	L	61	63		15	12	L 1		lafayette	lehigh	2015
28	Wed, Feb 25, 2015	7:00 pm/est	Service Electric 2 Sports	REG		Bucknell	Patriot	W	84	65		16	12	W 1		bucknell	lehigh	2015
29	Sat, Feb 28, 2015	12:00 pm/est	CBSSN	REG	@	Colgate	Patriot	L	55	61		16	13	L 1		colgate	lehigh	2015
30	Thu, Mar 5, 2015	7:00 pm/est	Patriot League Network	CTOURN		American	Patriot	L	62	68		16	14	L 2		american	lehigh	2015
1	Fri, Nov 14, 2014	8:30 pm/est		REG		Randolph		W	69	45		1	0	W 1		NA	liberty	2015
2	Mon, Nov 17, 2014	7:00 pm/est	MASN	REG		Delaware	CAA	W	61	55		2	0	W 2		delaware	liberty	2015
3	Wed, Nov 19, 2014	7:00 pm/est	ESPN3.com	REG	@	Virginia Tech	ACC	L	63	73		2	1	L 1		virginia-tech	liberty	2015
4	Sat, Nov 22, 2014	3:30 pm/est		REG	@	Miami (OH)	MAC	L	52	63		2	2	L 2		miami-oh	liberty	2015
5	Tue, Nov 25, 2014	4:00 pm/est		REG	N	North Florida	A-Sun	L	57	77		2	3	L 3		north-florida	liberty	2015
6	Wed, Nov 26, 2014	1:30 pm/est		REG	N	Morgan State	MEAC	L	50	51		2	4	L 4		morgan-state	liberty	2015
7	Mon, Dec 1, 2014	7:00 pm/est	MASN	REG		Furman	Southern	W	66	52		3	4	W 1		furman	liberty	2015
8	Sat, Dec 6, 2014	2:00 pm/est	MASN	REG		St. Francis (NY)	NEC	L	54	65		3	5	L 1		st-francis-ny	liberty	2015
9	Sat, Dec 13, 2014	2:00 pm/est		REG		Bluefield (WV)		W	79	61		4	5	W 1		NA	liberty	2015
10	Wed, Dec 17, 2014	7:30 pm/est		REG	@	North Carolina-Wilmington	CAA	L	70	73	OT	4	6	L 1		north-carolina-wilmington	liberty	2015
11	Fri, Dec 19, 2014	7:00 pm/est		REG		Central Pennsylvania College		W	94	65		5	6	W 1		NA	liberty	2015
12	Mon, Dec 22, 2014	7:00 pm/est	ILDN	REG	@	Princeton	Ivy	L	47	65		5	7	L 1		princeton	liberty	2015
13	Sun, Dec 28, 2014	2:00 pm/est		REG		Cincinnati Christian		W	78	58		6	7	W 1		NA	liberty	2015
14	Wed, Dec 31, 2014	2:00 pm/est		REG	@	Campbell	Big South	L	46	53		6	8	L 1		campbell	liberty	2015
15	Sat, Jan 3, 2015	7:00 pm/est	MASN	REG		Presbyterian	Big South	L	58	62		6	9	L 2		presbyterian	liberty	2015
16	Thu, Jan 8, 2015	7:00 pm/est	Big South Network	REG	@	North Carolina-Asheville	Big South	L	54	71		6	10	L 3		north-carolina-asheville	liberty	2015
17	Sat, Jan 10, 2015	7:00 pm/est	MASN	REG		Coastal Carolina	Big South	L	54	69		6	11	L 4		coastal-carolina	liberty	2015
18	Wed, Jan 14, 2015	7:30 pm/est		REG	@	Charleston Southern	Big South	L	58	80		6	12	L 5		charleston-southern	liberty	2015
19	Sat, Jan 17, 2015	5:00 pm/est		REG	@	Longwood	Big South	L	71	85		6	13	L 6		longwood	liberty	2015
20	Thu, Jan 22, 2015	7:00 pm/est	MASN, ESPN3.com	REG		Winthrop	Big South	L	56	71		6	14	L 7		winthrop	liberty	2015
21	Sat, Jan 24, 2015	4:30 pm/est	ESPN3.com	REG	@	Radford	Big South	L	76	84		6	15	L 8		radford	liberty	2015
22	Thu, Jan 29, 2015	7:00 pm/est		REG		High Point	Big South	L	53	72		6	16	L 9		high-point	liberty	2015
23	Sat, Jan 31, 2015	7:00 pm/est	LFSN, MASN	REG		Charleston Southern	Big South	L	62	74		6	17	L 10		charleston-southern	liberty	2015
24	Wed, Feb 4, 2015	7:00 pm/est	MASN	REG	@	Winthrop	Big South	L	61	74		6	18	L 11		winthrop	liberty	2015
25	Fri, Feb 6, 2015	7:00 pm/est		REG	@	Presbyterian	Big South	L	61	69		6	19	L 12		presbyterian	liberty	2015
26	Tue, Feb 10, 2015	8:00 pm/est	American Sports Net, MASN	REG		Campbell	Big South	W	73	60		7	19	W 1		campbell	liberty	2015
27	Sat, Feb 14, 2015	3:30 pm/est	ESPN3.com	REG	@	Coastal Carolina	Big South	L	56	96		7	20	L 1		coastal-carolina	liberty	2015
28	Tue, Feb 17, 2015	8:00 pm/est	ASN, MASN	REG		Longwood	Big South	L	72	78		7	21	L 2		longwood	liberty	2015
29	Sat, Feb 21, 2015	7:00 pm/est		REG	@	Gardner-Webb	Big South	L	67	77		7	22	L 3		gardner-webb	liberty	2015
30	Thu, Feb 26, 2015	7:00 pm/est	LFSN, Big South Net, MASN	REG		Radford	Big South	W	80	69		8	22	W 1		radford	liberty	2015
31	Sat, Feb 28, 2015	3:00 pm/est	MASN, ESPN3.com	REG		North Carolina-Asheville	Big South	L	77	95		8	23	L 1		north-carolina-asheville	liberty	2015
32	Wed, Mar 4, 2015	6:00 pm/est	Big South Network	CTOURN	N	North Carolina-Asheville	Big South	L	70	80		8	24	L 2		north-carolina-asheville	liberty	2015
1	Fri, Nov 14, 2014	9:00 pm/est	Atlantic Sun TV	REG		Berry		W	91	70		1	0	W 1		NA	lipscomb	2015
2	Mon, Nov 17, 2014	7:30 pm/est	ESPN3.com	REG		Belmont	OVC	L	62	87		1	1	L 1		belmont	lipscomb	2015
3	Thu, Nov 20, 2014	9:00 pm/est	FSN	REG	@	Vanderbilt	SEC	L	62	72		1	2	L 2		vanderbilt	lipscomb	2015
4	Sat, Nov 22, 2014	7:30 pm/est	Atlantic Sun TV	REG		Transylvania		W	74	63		2	2	W 1		NA	lipscomb	2015
5	Mon, Nov 24, 2014	8:00 pm/est		REG	@	Belmont	OVC	L	77	82		2	3	L 1		belmont	lipscomb	2015
6	Sun, Nov 30, 2014	2:00 pm/est	Pac-12 Network	REG	@	Colorado	Pac-12	L	75	84		2	4	L 2		colorado	lipscomb	2015
7	Wed, Dec 3, 2014	7:20 pm/est		REG	@	Tennessee Tech	OVC	L	79	84		2	5	L 3		tennessee-tech	lipscomb	2015
8	Sat, Dec 6, 2014	5:00 pm/est	ESPN3.com	REG		Tennessee State	OVC	W	77	68		3	5	W 1		tennessee-state	lipscomb	2015
9	Sat, Dec 13, 2014	5:00 pm/est		REG	@	Austin Peay	OVC	W	68	59		4	5	W 2		austin-peay	lipscomb	2015
10	Tue, Dec 16, 2014	8:00 pm/est	Longhorn Network	REG	@	Texas (9)	Big 12	L	61	106		4	6	L 1		texas	lipscomb	2015
11	Fri, Dec 19, 2014	8:00 pm/est	ILDN	REG	@	Princeton	Ivy	L	55	77		4	7	L 2		princeton	lipscomb	2015
12	Sun, Dec 21, 2014	3:00 pm/est	ESPN3.com	REG		Austin Peay	OVC	W	69	63		5	7	W 1		austin-peay	lipscomb	2015
13	Mon, Dec 29, 2014	7:00 pm/est		REG	@	Chattanooga	Southern	L	60	78		5	8	L 1		chattanooga	lipscomb	2015
14	Sat, Jan 3, 2015	5:00 pm/est	SEC Network	REG	@	Missouri	SEC	L	60	72		5	9	L 2		missouri	lipscomb	2015
15	Mon, Jan 5, 2015	8:30 pm/est	ASun TV, ESPN3.com	REG		Rhodes		W	90	53		6	9	W 1		NA	lipscomb	2015
16	Sat, Jan 10, 2015	7:30 pm/est	ESPN3.com	REG		Northern Kentucky	A-Sun	W	80	61		7	9	W 2		northern-kentucky	lipscomb	2015
17	Tue, Jan 13, 2015	7:30 pm/est	ESPN3.com	REG		South Carolina Upstate	A-Sun	W	60	58		8	9	W 3		south-carolina-upstate	lipscomb	2015
18	Sat, Jan 17, 2015	2:00 pm/est	ESPN3.com	REG	@	Kennesaw State	A-Sun	W	91	77		9	9	W 4		kennesaw-state	lipscomb	2015
19	Thu, Jan 22, 2015	7:30 pm/est	ESPN3.com	REG		Jacksonville	A-Sun	W	80	77	2OT	10	9	W 5		jacksonville	lipscomb	2015
20	Sat, Jan 24, 2015	5:00 pm/est	ESPN3.com	REG		North Florida	A-Sun	L	66	75		10	10	L 1		north-florida	lipscomb	2015
21	Thu, Jan 29, 2015	7:00 pm/est	ESPN3.com	REG	@	Florida Gulf Coast	A-Sun	L	62	78		10	11	L 2		florida-gulf-coast	lipscomb	2015
22	Sat, Jan 31, 2015	1:00 pm/est	ESPN3.com	REG	@	Stetson	A-Sun	L	73	75		10	12	L 3		stetson	lipscomb	2015
23	Sat, Feb 7, 2015	7:00 pm/est	ESPN3.com	REG	@	Northern Kentucky	A-Sun	L	60	77		10	13	L 4		northern-kentucky	lipscomb	2015
24	Thu, Feb 12, 2015	7:30 pm/est	ESPN3.com	REG		Stetson	A-Sun	W	87	85		11	13	W 1		stetson	lipscomb	2015
25	Sat, Feb 14, 2015	5:00 pm/est	ESPN3.com	REG		Florida Gulf Coast	A-Sun	L	74	76		11	14	L 1		florida-gulf-coast	lipscomb	2015
26	Thu, Feb 19, 2015	7:00 pm/est	ESPN3.com	REG	@	North Florida	A-Sun	L	78	93		11	15	L 2		north-florida	lipscomb	2015
27	Sat, Feb 21, 2015	2:00 pm/est	ESPN3.com	REG	@	Jacksonville	A-Sun	W	87	83		12	15	W 1		jacksonville	lipscomb	2015
28	Wed, Feb 25, 2015	6:00 pm/est	ESPN3.com	REG	@	South Carolina Upstate	A-Sun	L	47	70		12	16	L 1		south-carolina-upstate	lipscomb	2015
29	Sat, Feb 28, 2015	11:00 am/est	ESPN3.com	REG		Kennesaw State	A-Sun	W	94	75		13	16	W 1		kennesaw-state	lipscomb	2015
30	Tue, Mar 3, 2015	7:00 pm/est	ESPN3.com	CTOURN	@	Northern Kentucky	A-Sun	W	76	73	OT	14	16	W 2		northern-kentucky	lipscomb	2015
31	Thu, Mar 5, 2015	7:00 pm/est	ESPN3.com	CTOURN	@	North Florida	A-Sun	L	57	71		14	17	L 1		north-florida	lipscomb	2015
1	Fri, Nov 14, 2014	7:00 pm/est	BYUtv	REG	@	Brigham Young	WCC	L	90	95		0	1	L 1		brigham-young	long-beach-state	2015
2	Sat, Nov 15, 2014	7:00 pm/est		REG		San Francisco State		W	74	64		1	1	W 1		NA	long-beach-state	2015
3	Tue, Nov 18, 2014	7:00 pm/est	FS1	REG	@	Xavier	Big East	L	74	97		1	2	L 1		xavier	long-beach-state	2015
4	Fri, Nov 21, 2014	10:30 pm/est	FSN, MASN2	REG		Kansas State	Big 12	W	69	60		2	2	W 1		kansas-state	long-beach-state	2015
5	Sun, Nov 23, 2014	10:00 pm/est	Pac-12 Network	REG	@	UCLA	Pac-12	L	63	77		2	3	L 1		ucla	long-beach-state	2015
6	Thu, Nov 27, 2014	8:30 pm/est	ESPN U	REG	N	Western Michigan	MAC	W	73	55		3	3	W 1		western-michigan	long-beach-state	2015
7	Fri, Nov 28, 2014	11:30 pm/est	ESPN 2	REG	N	Washington	Pac-12	L	70	80		3	4	L 1		washington	long-beach-state	2015
8	Sun, Nov 30, 2014	4:30 pm/est	ESPN U	REG	N	Xavier	Big East	W	73	70		4	4	W 1		xavier	long-beach-state	2015
9	Wed, Dec 3, 2014	10:00 pm/est		REG		Nevada	MWC	W	68	57		5	4	W 2		nevada	long-beach-state	2015
10	Fri, Dec 5, 2014	8:00 pm/est		REG	@	Stephen F. Austin	Southland	L	45	74		5	5	L 1		stephen-f-austin	long-beach-state	2015
11	Wed, Dec 10, 2014	10:00 pm/est	ESPN3.com	REG	@	San Diego State (18)	MWC	L	59	60		5	6	L 2		san-diego-state	long-beach-state	2015
12	Sat, Dec 20, 2014	8:00 pm/est	Longhorn Network	REG	@	Texas (9)	Big 12	L	68	78		5	7	L 3		texas	long-beach-state	2015
13	Mon, Dec 22, 2014	7:30 pm/est	CBSSN	REG	@	St. John's (NY) (17)	Big East	L	49	66		5	8	L 4		st-johns-ny	long-beach-state	2015
14	Sun, Dec 28, 2014	2:00 pm/est	ESPN U	REG	@	Syracuse	ACC	L	67	85		5	9	L 5		syracuse	long-beach-state	2015
15	Tue, Dec 30, 2014	4:00 pm/est	ESPN3.com	REG	@	Louisville (5)	ACC	L	48	63		5	10	L 6		louisville	long-beach-state	2015
16	Sat, Jan 3, 2015	7:00 pm/est		REG		Fresno Pacific		W	81	46		6	10	W 1		NA	long-beach-state	2015
17	Thu, Jan 8, 2015	10:30 pm/est	FSN-PT	REG	@	UC-Irvine	Big West	W	88	82		7	10	W 2		california-irvine	long-beach-state	2015
18	Sat, Jan 10, 2015	11:00 pm/est	ESPN U	REG	@	UC-Davis	Big West	L	67	73	OT	7	11	L 1		california-davis	long-beach-state	2015
19	Thu, Jan 15, 2015	10:00 pm/est	ESPN3.com	REG		Cal Poly	Big West	W	50	48		8	11	W 1		cal-poly	long-beach-state	2015
20	Sat, Jan 17, 2015	7:00 pm/est	ESPN3.com	REG		UC-Santa Barbara	Big West	W	69	53		9	11	W 2		california-santa-barbara	long-beach-state	2015
21	Sat, Jan 24, 2015	10:00 pm/est	ESPN3.com	REG	@	Cal State Northridge	Big West	W	64	58		10	11	W 3		cal-state-northridge	long-beach-state	2015
22	Thu, Jan 29, 2015	10:30 pm/est	FSN-PT	REG	@	Cal State Fullerton	Big West	W	91	85	OT	11	11	W 4		cal-state-fullerton	long-beach-state	2015
23	Sat, Jan 31, 2015	7:00 pm/est	ESPN3.com	REG		Hawaii	Big West	W	65	50		12	11	W 5		hawaii	long-beach-state	2015
24	Thu, Feb 5, 2015	10:00 pm/est		REG		UC-Riverside	Big West	W	68	63		13	11	W 6		california-riverside	long-beach-state	2015
25	Sat, Feb 7, 2015	7:00 pm/est	ESPN3.com	REG		UC-Irvine	Big West	L	55	56		13	12	L 1		california-irvine	long-beach-state	2015
